speed 38400 baud; line = 0;
min = 1; time = 0;
-brkint -icrnl -imaxbel
-onlcr
-isig -icanon -echo
Q31
Q11
14:16:02 # Thu May 31 14:16:02 2001
14:16:02 # IOM Initialization
14:16:02 # TTY Initialization
14:16:03 # IO Initialization
14:16:03 # IO Initialization complete
14:16:03 # IOM Commencement
14:16:03 Analog: L@: 1.774384  # 1.774384  ( 1 )
14:16:03 ! MODE D @@@A
14:16:03 ! MODE B @@@A
14:17:00 Analog: L@: 1.758774  # 1.766579  ( 2 )
14:18:00 Analog: L@: 1.758774  # 1.7626765  ( 3 )
14:19:00 Analog: L@: 1.771783  # 1.76722975  ( 4 )
14:20:00 Analog: L@: 1.771783  # 1.769506375  ( 5 )
14:21:00 Analog: L@: 1.769181  # 1.7693436875  ( 6 )
14:22:00 Analog: L@: 1.763977  # 1.76666034375  ( 7 )
14:23:00 Analog: L@: 1.753570  # 1.76011517187  ( 8 )
14:24:00 Analog: L@: 1.769181  # 1.76464808594  ( 9 )
14:25:00 Analog: L@: 1.758774  # 1.76171104297  ( 10 )
14:26:00 Analog: L@: 1.753570  # 1.75764052148  ( 11 )
14:27:00 Analog: L@: 1.769181  # 1.76341076074  ( 12 )
14:28:00 Analog: L@: 1.771783  # 1.76759688037  ( 13 )
14:29:00 Analog: L@: 1.766579  # 1.76708794019  ( 14 )
14:30:00 Analog: L@: 1.756172  # 1.76162997009  ( 15 )
14:31:00 Analog: L@: 1.769181  # 1.76540548505  ( 16 )
14:32:00 Analog: L@: 1.769181  # 1.76729324252  ( 17 )
14:33:00 Analog: L@: 1.774384  # 1.77083862126  ( 18 )
14:34:00 Analog: L@: 1.761376  # 1.76610731063  ( 19 )
14:35:00 Analog: L@: 1.761376  # 1.76374165532  ( 20 )
14:36:00 Analog: L@: 1.758774  # 1.76125782766  ( 21 )
14:37:00 Analog: L@: 1.766579  # 1.76391841383  ( 22 )
14:38:01 Analog: L@: 1.771783  # 1.76785070691  ( 23 )
14:39:01 Analog: L@: 1.769181  # 1.76851585346  ( 24 )
14:40:01 Analog: L@: 1.771783  # 1.77014942673  ( 25 )
14:41:01 Analog: L@: 1.769181  # 1.76966521336  ( 26 )
14:42:01 Analog: L@: 1.771783  # 1.77072410668  ( 27 )
14:43:01 Analog: L@: 1.766579  # 1.76865155334  ( 28 )
14:44:01 Analog: L@: 1.763977  # 1.76631427667  ( 29 )
14:45:01 Analog: L@: 1.769181  # 1.76774763834  ( 30 )
14:46:01 Analog: L@: 1.769181  # 1.76846431917  ( 31 )
14:47:01 Analog: L@: 1.758774  # 1.76361915958  ( 32 )
14:48:01 Analog: L@: 1.769181  # 1.76640007979  ( 33 )
14:49:01 Analog: L@: 1.763977  # 1.7651885399  ( 34 )
14:50:01 Analog: L@: 1.753570  # 1.75937926995  ( 35 )
14:51:01 Analog: L@: 1.774384  # 1.76688163497  ( 36 )
14:52:01 Analog: L@: 1.766579  # 1.76673031749  ( 37 )
14:53:01 Analog: L@: 1.758774  # 1.76275215874  ( 38 )
14:54:01 Analog: L@: 1.769181  # 1.76596657937  ( 39 )
14:55:01 Analog: L@: 1.769181  # 1.76757378969  ( 40 )
14:56:01 Analog: L@: 1.766579  # 1.76707639484  ( 41 )
14:57:01 Analog: L@: 1.766579  # 1.76682769742  ( 42 )
14:58:01 Analog: L@: 1.758774  # 1.76280084871  ( 43 )
14:59:01 Analog: L@: 1.750969  # 1.75688492436  ( 44 )
15:00:01 Analog: L@: 1.763977  # 1.76043096218  ( 45 )
15:01:01 Analog: L@: 1.771783  # 1.76610698109  ( 46 )
15:02:01 Analog: L@: 1.771783  # 1.76894499054  ( 47 )
15:03:01 Analog: L@: 1.766579  # 1.76776199527  ( 48 )
15:04:01 Analog: L@: 1.761376  # 1.76456899764  ( 49 )
15:05:01 Analog: L@: 1.758774  # 1.76167149882  ( 50 )
15:06:01 Analog: L@: 1.771783  # 1.76672724941  ( 51 )
15:07:01 Analog: L@: 1.763977  # 1.7653521247  ( 52 )
15:08:01 Analog: L@: 1.766579  # 1.76596556235  ( 53 )
15:09:01 Analog: L@: 1.769181  # 1.76757328118  ( 54 )
15:10:01 Analog: L@: 1.753570  # 1.76057164059  ( 55 )
15:11:01 Analog: L@: 1.753570  # 1.75707082029  ( 56 )
15:12:01 Analog: L@: 1.756172  # 1.75662141015  ( 57 )
15:13:01 Analog: L@: 1.771783  # 1.76420220507  ( 58 )
15:14:01 Analog: L@: 1.776986  # 1.77059410254  ( 59 )
15:15:02 Analog: L@: 1.753570  # 1.76208205127  ( 60 )
15:16:02 Analog: L@: 1.769181  # 1.76563152563  ( 61 )
15:17:02 Analog: L@: 1.753570  # 1.75960076282  ( 62 )
15:18:02 Analog: L@: 1.769181  # 1.76439088141  ( 63 )
15:19:02 Analog: L@: 1.769181  # 1.7667859407  ( 64 )
15:20:02 Analog: L@: 1.761376  # 1.76408097035  ( 65 )
15:21:02 Analog: L@: 1.753570  # 1.75882548518  ( 66 )
15:22:02 Analog: L@: 1.769181  # 1.76400324259  ( 67 )
15:23:02 Analog: L@: 1.756172  # 1.76008762129  ( 68 )
15:24:02 Analog: L@: 1.769181  # 1.76463431065  ( 69 )
15:25:02 Analog: L@: 1.774384  # 1.76950915532  ( 70 )
15:26:02 Analog: L@: 1.753570  # 1.76153957766  ( 71 )
15:27:02 Analog: L@: 1.758774  # 1.76015678883  ( 72 )
15:28:02 Analog: L@: 1.769181  # 1.76466889442  ( 73 )
15:29:02 Analog: L@: 1.774384  # 1.76952644721  ( 74 )
15:30:02 Analog: L@: 1.774384  # 1.7719552236  ( 75 )
15:31:02 Analog: L@: 1.771783  # 1.7718691118  ( 76 )
15:32:02 Analog: L@: 1.758774  # 1.7653215559  ( 77 )
15:33:02 Analog: L@: 1.763977  # 1.76464927795  ( 78 )
15:34:02 Analog: L@: 1.763977  # 1.76431313898  ( 79 )
15:35:02 Analog: L@: 1.758774  # 1.76154356949  ( 80 )
15:36:02 Analog: L@: 1.771783  # 1.76666328474  ( 81 )
15:37:02 Analog: L@: 1.758774  # 1.76271864237  ( 82 )
15:38:02 Analog: L@: 1.766579  # 1.76464882119  ( 83 )
15:39:02 Analog: L@: 1.758774  # 1.76171141059  ( 84 )
15:40:02 Analog: L@: 1.756172  # 1.7589417053  ( 85 )
15:41:02 Analog: L@: 1.753570  # 1.75625585265  ( 86 )
15:42:02 Analog: L@: 1.763977  # 1.76011642632  ( 87 )
15:43:02 Analog: L@: 1.766579  # 1.76334771316  ( 88 )
15:44:02 Analog: L@: 1.766579  # 1.76496335658  ( 89 )
15:45:02 Analog: L@: 1.753570  # 1.75926667829  ( 90 )
15:46:02 Analog: L@: 1.753570  # 1.75641833915  ( 91 )
15:47:02 Analog: L@: 1.779588  # 1.76800316957  ( 92 )
15:48:02 Analog: L@: 1.771783  # 1.76989308479  ( 93 )
15:49:02 Analog: L@: 1.769181  # 1.76953704239  ( 94 )
15:50:02 Analog: L@: 1.771783  # 1.7706600212  ( 95 )
15:51:02 Analog: L@: 1.771783  # 1.7712215106  ( 96 )
15:52:02 Analog: L@: 1.771783  # 1.7715022553  ( 97 )
15:53:03 Analog: L@: 1.753570  # 1.76253612765  ( 98 )
15:54:03 Analog: L@: 1.766579  # 1.76455756382  ( 99 )
15:55:03 Analog: L@: 1.750969  # 1.75776328191  ( 100 )
15:56:03 Analog: L@: 1.771783  # 1.76477314096  ( 101 )
15:57:03 Analog: L@: 1.756172  # 1.76047257048  ( 102 )
15:58:03 Analog: L@: 1.771783  # 1.76612778524  ( 103 )
15:59:03 Analog: L@: 1.769181  # 1.76765439262  ( 104 )
16:00:03 Analog: L@: 1.769181  # 1.76841769631  ( 105 )
16:01:03 Analog: L@: 1.756172  # 1.76229484815  ( 106 )
16:02:03 Analog: L@: 1.766579  # 1.76443692408  ( 107 )
16:03:03 Analog: L@: 1.756172  # 1.76030446204  ( 108 )
16:04:03 Analog: L@: 1.771783  # 1.76604373102  ( 109 )
16:05:03 Analog: L@: 1.769181  # 1.76761236551  ( 110 )
16:06:03 Analog: L@: 1.758774  # 1.76319318275  ( 111 )
16:07:03 Analog: L@: 1.769181  # 1.76618709138  ( 112 )
16:08:03 Analog: L@: 1.766579  # 1.76638304569  ( 113 )
16:09:03 Analog: L@: 1.758774  # 1.76257852284  ( 114 )
16:10:03 Analog: L@: 1.769181  # 1.76587976142  ( 115 )
16:11:03 Analog: L@: 1.758774  # 1.76232688071  ( 116 )
16:12:03 Analog: L@: 1.753570  # 1.75794844036  ( 117 )
16:13:03 Analog: L@: 1.769181  # 1.76356472018  ( 118 )
16:14:03 Analog: L@: 1.771783  # 1.76767386009  ( 119 )
16:15:03 Analog: L@: 1.771783  # 1.76972843004  ( 120 )
16:16:03 Analog: L@: 1.769181  # 1.76945471502  ( 121 )
16:17:03 Analog: L@: 1.769181  # 1.76931785751  ( 122 )
16:18:03 Analog: L@: 1.769181  # 1.76924942876  ( 123 )
16:19:03 Analog: L@: 1.758774  # 1.76401171438  ( 124 )
16:20:03 Analog: L@: 1.758774  # 1.76139285719  ( 125 )
